objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
INV00001,INV00001.JPG,,,Policía y marchantes de la primera marcha sobre la Séptima,Archivo personal de Manuel Velandia Mora,1983,"La imagen contiene una pancarta que dice: ""¡Trabajamos por liberación social y liberación sexual! Minorías sexuales 'únete' "". Otra pancarta dice: ""28 de junio día internacional homosexual. ¡Sí a la vida!"". Al costado izquierdo va la policía y al costado derecho va Manuel Velandia con la cara pintada llevando un extremo de la pancarta que dice: ""¡Trabajamos por liberación social y liberación sexual! Minorías sexuales 'únete' "". Manifestantes transitan por el andén detrás de la pancarta que dice: ""28 de junio día internacional homosexual. ¡Sí a la vida!"". Jairo Hernández (derecha) y Ricardo Parra (Izquierda).",blanco y negro;ampliación fotográfica;80s;formato horizontal;primera marcha;,Bogotá,4.607342,-74.070926,Primera Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 1",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00002,INV00002.JPG,,,"Colectivo El Greco de Medellín: ""presente""",Archivo personal de Manuel Velandia Mora,1983,"Se observa una pancarta con la frase: ""Colectivo homosexual "".El Greco' de Medellín presente"". Manifestantes transitan por el andén al frente dos hombres. De izquierda a derecha:Guillermo Cortés, Luis Fernando Araújo y Yolanda Clavijo. Detrás de ellos se encuentra Fernando Alviar (saco claro y pantalón oscuro). Detrás de Fernando Alviar se observa el rostro de Manuel Velandia. Al costado izquierdo, encima de la pancarta, se observa a León Zuleta.",blanco y negro;ampliación fotográfica;80s;formato horizontal;primera marcha;,Bogotá,4.609692,-74.070269,Primera Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 1",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00003,INV00003.JPG,,,"Manifestantes, durante la ciclovía",Archivo personal de Manuel Velandia Mora,1996,"Marchantes van sobre la carrera séptima llevando entre todos la bandera de la diversidad. En el centro está Edgar Jiménez con gorra oscura y buzo blanco mirando a la cámara. Al costado izquierdo, está un marchante sin identificar que va en bicicleta, el cual lleva un buzo claro y gafas negras.",blanco y negro;negativo;90s;formato horizontal;segunda marcha;,Bogotá,4.627692,-74.065261,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00004,INV00004.JPG,,,Inicio de la marcha,Archivo personal de Manuel Velandia Mora,1996,"Marchantes van sobre la carrera séptima llevando entre todos la bandera de la diversidad. A la derecha va Liliana Gómez Ángel de chaqueta y pantalón blanco, junto con otro manifestante de gorra oscura, camiseta y pantaloneta blanca, quien porta una riñonera. Al costado izquierdo está Germán Rincón Perfetti montando bicicleta. Detrás del manifestante que lleva una riñonera se observa el rostro de Edgar Jiménez.",blanco y negro;negativo;90s;formato vertical;segunda marcha;,Bogotá,4.628563,-74.065028,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00005,INV00005.JPG,,,Llevando la Bandera,Archivo personal de Manuel Velandia Mora,1996,"Marchantes van sobre la carrera séptima llevando la bandera de la diversidad que se visualiza al costado izquierdo. En primer plano aparece Liliana Gómez Ángel (Chaqueta y pantalón blancos), llevando un extremo de la bandera de la diversidad. En el centro se observa a un manifestante de gorra oscura, riñonera, pantaloneta y camiseta blancas, llevando un borde de la bandera. Al costado izquierdo está Edgar Jiménez (gorra y pantaloneta oscuras, buzo blanco) llevando también un borde de la bandera.",blanco y negro;negativo;90s;formato vertical;segunda marcha;,Bogotá,4.628903,-74.064943,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00006,INV00006.JPG,,,Manifestante sin identificar,Archivo personal de Manuel Velandia Mora,1996,"Marchantes van sobre la carrera séptima llevando la bandera de la diversidad. Aparece un marchante con gorra oscura, pantaloneta y camiseta blancas y riñonera sosteniendo la bandera de diversidad.",blanco y negro;negativo;90s;formato vertical;segunda marcha;,Bogotá,4.628903,-74.064943,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00007,INV00007.JPG,,,Edgar llevando la Bandera,Archivo personal de Manuel Velandia Mora,1996,"Marchantes van sobre la carrera séptima llevando la bandera de la diversidad. Se observa a Edgar Jiménez de buzo blanco, pantaloneta y gorra oscuras, sosteniendo un extremo de la bandera de la diversidad mientras sonríe. Al costado izquierdo va John García (camiseta, chaleco y gorra oscuros), quien se observa de medio cuerpo con los brazos doblados llevando un extremo de la bandera.",blanco y negro;negativo;90s;formato vertical;segunda marcha;,Bogotá,4.628903,-74.064943,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00008,INV00008.JPG,,,Manifestantes llevando la Bandera,Archivo personal de Manuel Velandia Mora,1996,"Marchantes van sobre la carrera séptima llevando la bandera de la diversidad. Se observa un hombre afrodescendiente con gorra y en patines. En el centro está Edgar Jiménez con buzo blanco, gorra y pantaloneta oscuras, llevando el extremo de la bandera. Al costado derecho se observan tres hombres dando la espalda, y llevando una cámara de television y un trípode. En el centro de la imágen se observa a Rafael Sandoval de la revista ""Indetectable"" (camisa a cruadros).",blanco y negro;negativo;90s;formato vertical;segunda marcha;,Bogotá,4.630226,-74.064543,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00009,INV00009.JPG,,,Manifestantes a lo lejos junto a los ciclistas,Archivo personal de Manuel Velandia Mora,1996,"Marchantes van en bicicleta sobre la carrera séptima a la altura de la Universidad Javeriana llevando la bandera de la diversidad que se visualiza al fondo de la imagen. Al costado izquierdo, el segundo de izquierda a derecha es Germán Rincón Perfetti en bicicleta (medias oscuras y camiseta y pantaloneta blancas).",blanco y negro;negativo;90s;formato vertical;segunda marcha;,Bogotá,4.630705,-74.064349,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
INV00010,INV00010.JPG,,,Manifestantes a la altura de la Universidad Javeriana,Archivo personal de Manuel Velandia Mora,1996,Marchantes van en bicicleta sobre la carrera séptima a la la altura de la Universidad Javeriana. Edgar Jiménez (gorra y pantaloneta oscuras y buzo blanco) lleva un extremo de la bandera. En el centro se observa al hombre afrodescendiente con patines llevando un extremo de la bandera.,blanco y negro;negativo;90s;formato vertical;segunda marcha;,Bogotá,4.630705,-74.064349,Segunda Marcha por las Minorías Sexuales en Bogotá,"Caja 1, sobre 2",Image;StillImage,image/jpeg,ESP,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
